"Source:","C:\Users\Schenk\Documents\GitHub\electronic-projects\amp-mosfet-80W\kicad\v5e\amp-mosfet-80w.kicad_sch"
"Date:","20/08/2023 13:57:54"
"Tool:","Eeschema 7.0.7"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","67"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1","1","3.3uF/63V/Film","C","Capacitor_THT:C_Rect_L7.2mm_W7.2mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","Unpolarized capacitor","",""
"C4","1","47uF/25V","CP","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","","",""
"C5","1","10p/100V/COG","C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","Unpolarized capacitor","",""
"C6, C9, C10, C14, C18","5","100n/100V","C","Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","Unpolarized capacitor","",""
"C7","1","100nF/100V","C","Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","Unpolarized capacitor","",""
"C8","1","100pF/50V/Film","C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","Unpolarized capacitor","",""
"C11, C12","2","220u/100V","CP","Capacitor_THT:CP_Radial_D12.5mm_P5.00mm","","",""
"C13","1","22nF/100V","C","Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","Unpolarized capacitor","",""
"D1, D3","2","MMSD914T","1N4148","Diode_SMD:D_SOD-123","100V 0.15A standard switching diode, DO-35","",""
"D2, D4","2","MMSZ12T1G/12V/0.5W","ZPDxx","Diode_SMD:D_SOD-123","500mW Zener Diode, DO-35","",""
"D5, D6","2","SM4002PL-TP","1N4002","Diode_SMD:D_SOD-123F","100V 1A General Purpose Rectifier Diode, DO-41","",""
"J1, J2","2","Conn_01x01","Conn_01x01","Connector_Pin:Pin_D1.0mm_L10.0mm","Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"J3","1","+50V","Conn_01x01","kicad-snk:TE-726386-2_Pitch5.08mm_Drill1.3mm","Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"J4","1","-50V","Conn_01x01","kicad-snk:TE-726386-2_Pitch5.08mm_Drill1.3mm","Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"J5","1","LS+","Conn_01x01","kicad-snk:TE-726386-2_Pitch5.08mm_Drill1.3mm","Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"J6","1","LS-","Conn_01x01","kicad-snk:TE-726386-2_Pitch5.08mm_Drill1.3mm","Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"J7","1","GND","Conn_01x01","kicad-snk:TE-726386-2_Pitch5.08mm_Drill1.3mm","Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"MK3, MK4","2","Mounting_Hole_PAD","MountingHole","MountingHole:MountingHole_3.2mm_M3_Pad_Via","Mounting Hole without connection","",""
"Q1, Q2","2","BCM856BS,115","BC856BS","Package_TO_SOT_SMD:SOT-363_SC-70-6","100mA IC, 65V Vce, Dual PNP/PNP Transistors, SOT-363","",""
"Q3, Q4","2","BCM846BS,115","BC846BDW1","Package_TO_SOT_SMD:SOT-363_SC-70-6","100mA IC, 65V Vce, Dual NPN/NPN Transistors, SOT-363","",""
"Q5","1","BC856B","BC856","Package_TO_SOT_SMD:SOT-23","0.1A Ic, 65V Vce, PNP Transistor, SOT-23","",""
"Q6","1","DZT5551","DZT5551","Package_TO_SOT_SMD:SOT-223-3_TabPin2","","",""
"Q7","1","DZT5401","DZT5401","Package_TO_SOT_SMD:SOT-223-3_TabPin2","0.6A Ic, 160V Vce, PNP Transistor, SOT-223","",""
"Q8","1","BC846B","BC846","Package_TO_SOT_SMD:SOT-23","0.1A Ic, 65V Vce, NPN Transistor, SOT-23","",""
"Q11","1","ECX10P20","Q_PMOS_GSD","Package_TO_SOT_THT:TO-247-3_Horizontal_TabUp","","",""
"Q12","1","ECX10N20","Q_NMOS_GSD","Package_TO_SOT_THT:TO-247-3_Horizontal_TabUp","","",""
"R1, R3, R11","3","22k/0.3W","R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor","",""
"R2, R13, R15, R16, R23, R25, R26, R27","8","1R","R","Resistor_SMD:R_MELF_MMB-0207","Resistor","",""
"R4, R7","2","68R/0.3W","R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor","",""
"R5","1","150R/0.3W","R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor","",""
"R6, R22","2","100R/0.3W","R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor","",""
"R8","1","22k/0.25W","R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor","",""
"R9","1","39R/0.3W","R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor","",""
"R10, R24","2","1k/0.3W","R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor","",""
