"Index","Menge","Teilenummer","Hersteller-Teilenummer","Beschreibung","Kundenreferenz","Lieferrückstände","Stückpreis","Gesamtpreis"
"1","10","A114371-ND","726386-2","CONN QC TAB 0.250 SOLDER","","0","0,21000","2,10 CHF"
"2","10","1N5404GOS-ND","1N5404G","DIODE GEN PURP 400V 3A DO201AD","","0","0,36500","3,65 CHF"
"3","10","CB5JB100R-ND","CB5JB100R","RES 100 OHM 5% 5W AXIAL","","0","0,35300","3,53 CHF"
"4","10","BC4500CT-ND","MBB02070C9103FCT00","RES 910K OHM 1% 0.6W AXIAL","","0","0,20500","2,05 CHF"
"5","10","BC4249CT-ND","MRS25000C6982FCT00","RES 69.8K OHM 0.6W 1% AXIAL","","0","0,20500","2,05 CHF"
"6","3","F9723-ND","S6010RS2TP","SCR 600V 10A TO220AB","","0","1,79000","5,37 CHF"
"7","50","1189-1659-1-ND","50YXJ100MT78X11.5","CAP ALUM 100UF 20% 50V RADIAL","","0","0,15800","7,90 CHF"
"8","10","PPC270KW-1CT-ND","PR01000102703JR500","RES 270K OHM 1W 5% AXIAL","","0","0,20600","2,06 CHF"
"9","10","PPC220W-1CT-ND","PR01000102200JR500","RES 220 OHM 1W 5% AXIAL","","0","0,20600","2,06 CHF"
"10","10","495-4897-1-ND","B32922C3224K289","CAP FILM 0.22UF 10% 630VDC RAD","","0","0,42100","4,21 CHF"
"11","10","DF04MDI-ND","DF04M","BRIDGE RECT 1PHASE 400V 1A DFM","","0","0,37900","3,79 CHF"
"12","10","BC3768CT-ND","MBB02070C3901FCT00","RES 3.9K OHM 0.6W 1% AXIAL","","0","0,20500","2,05 CHF"
"13","10","A105945CT-ND","LR1F100K","RES 100K OHM 1% 0.6W AXIAL","","0","0,11200","1,12 CHF"
"14","10","BC4057CT-ND","MRS25000C2200FCT00","RES 220 OHM 0.6W 1% AXIAL","","0","0,20500","2,05 CHF"
"15","10","A105956CT-ND","LR1F22K","RES 22K OHM 1% 0.6W AXIAL","","0","0,11200","1,12 CHF"
"16","50","1189-50YXM22MEFR5X11-ND","50YXM22MEFR5X11","CAP ALUM 22UF 20% 50V RADIAL","","0","0,14120","7,06 CHF"
"17","10","PPC100W-1CT-ND","PR01000101000JR500","RES 100 OHM 1W 5% AXIAL","","0","0,20600","2,06 CHF"
"18","10","1727-1946-1-ND","1N4742A,133","DIODE ZENER 12V 1W DO41","","0","0,30300","3,03 CHF"
"19","10","BC559BTACT-ND","BC559BTA","TRANS PNP 30V 100MA TO92-3","","0","0,28100","2,81 CHF"
"20","25","2N7000-D75ZFSCT-ND","2N7000-D75Z","MOSFET N-CH 60V 200MA TO92-3","","0","0,31600","7,90 CHF"
"21","5","Z222-ND","G5Q-1 DC24","RELAY GEN PURPOSE SPDT 10A 24V","","0","1,59000","7,95 CHF"
"","","","","","","","Zwischensumme","75,92 CHF"
